NAME,MEANING
bedizen,dress with vulgar finery
bedraggle,wet thoroughly
beeline,direct, quick route
befuddle,confuse thoroughly
beget,father; produce; give rise to
beguile,mislead or delude; cheat; pass time
behemoth,huge creature; something of monstrous size or power
beholden,obligated; indebted
behoove,be suited to; be incumbent upon
belabor,explain or go over excessively or to a riduculous degree; assail verbally
beleaguer,besiege or attack; harass
belittle,disparage; depreciate
bemoan,lament; express disapproval of
bemused,confused; lost in thought; preoccupied
benefactor,gift giver; patron
beneficial,helpful; useful
beneficiary,person entitled to benefits or proceeds of an insurance policy or will
benevolent,generous; charitable
benign,kindly; favorable; not malignant
bent,determined; natural talent or inclination (n)
bequeath,leave to someone by means of a will; hand down
berate,scold strongly
bereavement,state of being deprived of something valuable or beloved
bereft,deprived of; lacking
beseech,beg; plead with
beset,harass or trouble; hem in
besiege,surround with armed forces; harass (with requests)
besmirch,soil, defile
bestial,beastlike; brutal; inhuman
betoken,signify; indicate
betray,be unfaithful; reveal (unconsciously or unwillingly)
betroth,become engaged to marry
bevy,large group
bicameral,two-chambered, as a legislative body
biennial,every two years
bifurcated,divided into two branches; forked
bigotry,stubborn intolerance
bilious,suffering from indigestion; irritable
bilk,swindle; cheat
billowing,swelling out in waves; surging
bivouac,temporary encampment
bizarre,fantastic; violently contrasting
blanch,bleach; whiten
bland,soothing or mild; agreeable
blare,loud, harsh roar or speech; dazzling blaze of light
blase,bored with pleasure or dissipation
blasphemy,irreverence; sacrilege; cursing
blatant,extremely obvious; loudly offensive
bleak,cold or cheerless; unlikely to be favorable
blighted,suffering from a disease; destroyed
blithe,gay; joyous
bloated,swollen or puffed as with water or air
blowhard,talkative boaster
bludgeon,club; heavy-headed weapon
bluff,rough but good-natured; pretense (of strength) (n); deception (n); high cliff (n)
blurt,utter impulsively
bluster,blow in heavy gusts; threaten emptily; bully
bode,foreshadow; portend
bogus,counterfeit; not authentic
bohemian,unconventional (in an artistic way)
boisterous,violent; rough; noisy
bolt,door bar; fastening pin or screw; length of fabric
bombardment,attack (as with missiles)
boon,blessing; benefit
bouillon,clear beef soup
bountiful,abundant; graciously generous
bourgeois,middle class; selfishly materialistic; dully conventional
bovine,cowlike; placid and dull
boycott,refrain from buying or using
brackish,somewhat saline
brandish,wave around; flourish
bravado,swagger; assumed air of defiance
brawn,muscular strength; sturdiness
breach,breaking of contract or duty; fissure or gap
breadth,width; extent
brindled,tawny or grayish with streaks or spots
bristling,rising like bristles; showing irritation
brittle,easily broken; difficult
broach,introduce; open up
brocade,rich, figured fabric
brooch,ornamental clasp
brook,tolerate; endure
browbeat,bully; intimidate
browse,graze; skim or glance at casually
brunt,main impact or shock
brusque,blunt; abrupt
bucolic,rustic; pastoral
buffet,slap; batter; knock about
bugaboo,bugbear; object of baseless terror
bullion,gold and silver in the form of bars
bulwark,earthwork or other strong defense; person who defends
bungle,mismanage; blunder
buoyant,able to float; cheerful and optimistic
bureaucracy,overregulated administrative system marked by red tape
burlesque,give an imitation that ridicules
buxom,full-bosomed; plump; jolly
cabal,small group of persons secretly united to promote their own interests
cache,hiding place
cadaverous,like a corpse; pale
cadence,rhythmic rise and fall (of words or sounds); beat
cajole,coax; wheedle
calamity,disaster; misery
calculated,deliberately planned; likely
caldron,large kettle
caliber,ability; quality
calligraphy,beautiful writing; excellent penmanship
callous,hardened; unfeeling
callow,youthful; immature; inexperienced
calorific,heat-producing
calumny,malicious misrepresentation; slander
camaraderie,good fellowship
cameo,shell or jewel carved in relief; star's special appearance in a minor role in a film
camouflage,disguise; conceal
canard,unfounded rumor; exaggerated report
candor,frankness; open honesty
canine,related to dogs; doglike
canker,any ulcerous sore; any evil
canny,shrewd; thrifty
canon,collection of authoritative list of books (e.g., by an author, or accepted as scripture); rule or standard set by ecclesiastical authority
cant,insincere expressions of piety; jargon of thieves
cantankerous,ill-humored; irritable
cantata,story set to music, to be sung by a chorus
canter,slow gallop
canto,division of a long poem
canvass,determine or seek opinions, votes, etc.
capacity,mental or physical ability; role, ability to accommodate
capillary,having a very fine bore
caption,title; chapter heading; text under illustration
carafe,glass water bottle; decanter
carapace,shell covering the back (of a turtle, crab, etc.)
carat,unit of weight for precious stones; measure of fineness of gold
carcinogenic,causing cancer
cardiologist,doctor specializing in ailments of the heart
careen,lurch; sway from side to side
caricature,distortion; burlesque
carillon,a set of bells capable of being played
carnage,destruction of life
carnivorous,meat-eating
carousal,drunken revel
carping,petty criticism; fault-finding
carrion,rotting flesh of a dead body
cartographer,map-maker
cascade,small waterfall
caste,one of the hereditary classes in Hindu society, social stratification; prestige
casualty,serious or fatal accident
cataclysm,deluge; upheaval
catapult,slingshot; hurling machine
cataract,great waterfall; eye abnormality
catastrophe,calamity; disaster
catcall,shout of disapproval; boo
catechism,book for religious instruction; instruction by question and answer
categorical,without exceptions; unqualified; absolute
catharsis,purging or cleansing of any passage of the body
catholic,universal; wide-ranging liberal
caucus,private meeting of members of a party to select officers or determine policy
caulk,to make watertight (by plugging seams)
causal,implying a cause-and-effect relationship
cauterize,burn with hot iron or caustic
cavalcade,procession; parade
cavalier,casual and offhand; arrogant
cavil,make frivolous objections
cede,yield (title, territory) to; surrender formally
celerity,speed; rapidity
celibate,abstaining from sexual intercourse; unmarried
censor,overseer of morals; person who eliminates inappropriate matter
censure,blame; criticize
centaur,mythical figure, half man and half horse
centigrade,denoting a widely used temperature scale (basically same as Celsius)
centrifugal,radiating; departing from the center
centrifuge,machine that separates substances by whirling them
centripetal,tending toward the center
centurion,Roman army officer
cerebral,pertaining to the brain or intellect
ceremonious,marked by formality
cession,yielding to another; ceding
chafe,warm by rubbing; make sore (by rubbing)
chaff,worthless products of an endeavor
chaffing,bantering; joking
chagrin,vexation (caused by humiliation or injured pride); disappointment
chalice,goblet; consecrated cup
chameleon,lizard that changes color in different situations
champion,support militantly
chaotic,in utter disorder
charisma,divine gift
charlatan,quack; pretender to knowledge
chary,cautious; sparing or restrained about giving
chase,ornament a metal surface by indenting
chassis,framework and working parts of an automobile
chaste,pure; virginal; modest
chasten,discipline; punish in order to correct
chauvinist,blindly devoted patriot; zealous adherent of a group or cause
check,stop motion; curb or restrain
checkered,marked by changes in fortune
cherubic,angelic; innocent-looking
chimerical,fantastically improbable; highly unrealistic; imaginative
chisel,wedgelike tool for cutting
chivalrous,courteous; faithful; brave
choleric,hot-tempered
choreography,art of representing dances in written symbols; arrangement of dances
chortle,chuckle with delight
chronic,long established, as a disease
chronicle,report; record (in chronological order)
churlish,boorish; rude
ciliated,having minute hairs
cipher,nonentity; worthless person or thing; secret code
circlet,small ring; band
circumlocution,indirect or roundabout expression
circumscribe,limit; confine
circumspect,prudent; cautious
circumvent,outwit; baffle
cistern,reservoir or water tank
cite,quote; commend
civil,having to do with citizens or the state; courteous and polite
clairvoyant,having foresight; fortuneteller
clamber,climb by crawling
clangor,loud, resounding noise
clapper,striker (tongue) of a bell
clarion,shrill, trumpet like sound
claustrophobia,fear of being locked in
cleave,split or sever; cling to; remain faithful to
clemency,disposition to be lenient; mildness, as of the weather
cliche,phrase dulled in meaning by repetition
clientele,body of customers
climactic,relating to the highest point
clime,region; climate
clique,small, exclusive group
cloister,monastery or convent
clout,great influence (especially political or social)
cloying,distasteful (because excessive); excessively sweet or sentimental
coalesce,combine; fuse
coalition,partnership; league; union
coddle,treat gently; pamper
codicil,supplement to the body of a will
codify,arrange (laws, rules) as a code; classify
coercion,use of force to get someone to obey
coeval,living at the same time as; contemporary
cog,tooth projecting from a wheel
cogitate,think over
cognate,related linguistically; allied by blood; similar or akin in nature
cognitive,having to do with knowing or perceiving; related to the mental processes
cohabit,live together
cohesion,tendency to keep together
cohorts,armed band
coin,make coins; invent or fabricate
coincidence,the chance occurrence, at the same time, of two or more seemingly connected events
colander,utensil with perforated bottom used for straining
collaborate,work together
collage,work of art put together from fragments
collateral,security given for loan
collation,a light meal
colloquial,pertaining to conversational or common speech; informal
colloquy,informal discussion
colossus,gigantic statue
comatose,in a coma; extremely sleepy
combustible,easily burned
comely,attractive; agreeable
comestible,something fit to be eaten
comeuppance,rebuke; deserts
comity,courtesy; civility
commandeer,to draft for military purposes; to take for public use
commemorative,remembering; honoring
commiserate,feel or express pity or sympathy for
commodious,spacious and comfortable
communal,held in common; of a group of people
compact,agreement; contract
compatible,harmonious; in harmony with
compelling,overpowering; irresistible in effect
compensatory,making up for; repaying
compilation,listing of statistical information in tabular or book form
compile,assemble; gather; accumulate
complacency,self-satisfaction; smugness
complement,complete; consummate; make perfect
complementary,serving to complete something
compliance,readiness to yield; conformity in fulfilling requirements
complicity,participation; involvement
component,element; ingredient
comport,bear one's self; behave
composure,mental calmness
compound,combine; constitute; pay interest; increase
comprehensive,thorough; inclusive
compress,close; squeeze; contract
comprise,include; consist of
compromise,adjust or settle by making mutual concessions; endanger the interests or reputation of
compute,reckon; calculate
concatenate,link as in a chain
concede,admit; yield
conceit,vanity or self-love; whimsical idea; extravagant metaphor
concentric,having a common center
conception,beginning; forming of an idea
concerted,mutually agreed on; done together
concession,an act of yielding
concise,brief and compact
conclave,private meeting
conclusive,decisive; ending all debate
concoct,prepare by combining; make up in concert
concomitant,that which accompanies
concurrent,happening at the same time
condescend,bestow courtesies with a superior air
condign,adequate; deservedly severe
condiments,seasonings; spices
condole,express sympathetic sorrow
conducive,helpful: contributive
conduit,aqueduct; passageway for fluids
confidant,trusted friend
confine,shut in; restrict
confiscate,seize; commandeer
conflagration,great fire
confluence,flowing together; crowd
conformity,harmony; agreement
congeal,freeze: coagulate
congenial,pleasant; friendly
congenital,existing at birth
conglomeration,mass of material sticking together
congruence,correspondence of parts; harmonious relationship
congruent,in agreement; corresponding
conifer,pine tree; cone-bearing tree
conjecture,surmise; guess
conjugal,pertaining to marriage
conjure,summon a devil; practice magic; imagine or invent
connivance,pretense of ignorance of something wrong; assistance; permission to offend
connotation,suggested or implied meaning of an expression
connubial,pertaining to marriage or the matrimonial state
conscientious,scrupulous; careful
conscript,draftee; person forced into military service
consecrate,dedicate; sanctify
consensus,general agreement
consequential,pompous; self-important
conservatory,school of the fine arts (especially music or drama)
consign,deliver officially; entrust; set apart
consistency,absence of contradictions; dependability; uniformity; degree of thickness
console,lessen sadness or disappointment; give comfort
consolidation,unification; process of becoming firmer or stronger
consonance,harmony; agreement
consort,associate with (v); husband or wife (n)
conspiracy,treacherous plot
constraint,compulsion; repression of feelings
construe,explain; interpret
contempt,scorn; disdain
contend,struggle; compete; assert earnestly
context,writings preceding and following the passage quoted
contiguous,adjacent to; touching upon
continence,self-restraint; sexual chastity
contingent,dependent on (adj); conditional (adj); group that makes up part of a gathering (n)
contortions,twistings; distortions
contraband,illegal trade; smuggling; smuggled goods
contravene,contradict; oppose: infringe on or transgress
contrived,forced; artificial; not spontaneous
controvert,oppose with arguments; attempt to refute; contradict
contumacious,disobedient; resisting authority
convention,social or moral custom; established practice
conventional,ordinary; typical
convert,one who has adopted a different religion or opinion
convex,curving outward
conveyance,vehicle; transfer
conviction,judgment that someone is guilty of a crime; strongly held belief
convivial,festive; gay; characterized by joviality
convoke,call together
cordial,gracious; heartfelt
cordon,extended line of men or fortifications to prevent access or egress
cornice,projecting molding on building (usually above columns)
cornucopia,horn overflowing with fruit and grain; symbol of abundance
corollary,consequence; accompaniment
corporeal,bodily; material
corpulent,very fat
correlation,mutual relationship
corroborate,confirm; support
corrode,destroy by chemical action
corrosive,eating away by chemicals or disease
corrugated,wrinkled; ridged
cosmic,pertaining to the universe; vast
coterie,group that meets socially; select circle
countenance,approve (v); tolerate (v); face (n)
countermand,cancel; revoke
counterpart,a thing that completes another; things very much alike
coup,highly successful action or sudden attack
couple,join; unite
covert,secret; hidden; implied
covetous,avaricious; eagerly desirous of
cow,terrorize; intimidate
cower,shrink quivering, as from fear
coy,shy; modest; coquettish
cozen,cheat: hoodwink: swindle
crabbed,sour; peevish
crass,very unrefined; grossly insensible
credulity,belief on slight evidence; gullibility; naivete
creed,system of religious or ethical belief
crescendo,increase in the volume or intensity, as in a musical passage; climax
crestfallen,dejected; dispirited
crevice,crack; fissure
cringe,shrink back, as if in fear
criteria,standards used in judging
crotchety,eccentric; whimsical
crux,essential or main point
crypt,secret recess or vault usually used for burial
cryptic,mysterious; hidden; secret
cubicle,small chamber used for sleeping
cuisine,style of cooking
culinary,relating to cooking
cull,pick out; reject
culmination,attainment of highest point
culpable,deserving blame
culvert,artificial channel for water
cumbersome,heavy; hard to manage
cumulative,growing by addition
curator,superintendent; manager
curmudgeon,churlish, miserly individual
cursive,flowing, running
cursory,casual; hastily done
curtail,shorten; reduce
cynical,skeptical or distrustful of human motives
cynosure,object of general attention
dabble,work at in a non-serious fashion; splash around
dais,raised platform for guests of honor
dally,trifle with; procrastinate
dapper,neat and trim
daub,smear (as with paint)
dawdle,loiter; waste time
deadlock,standstill; stalemate
deadpan,wooden; impassive
debacle,sudden downfall; complete disaster
debase,reduce in quality or value; lower in esteem; degrade
debauch,corrupt; seduce from virtue
debilitate,weaken; enfeeble
debonair,friendly; aiming to please
debunk,expose as false, exaggerated, worthless, etc.; ridicule
debutante,Young woman making formal entrance into society
decant,pour off gently
decelerate,slow down
deciduous,falling off, as of leaves
decimate,kill, usually one out of ten
declivity,downward slope
decollete,having a low-cut neckline
decoy,lure or bait
decrepitude,state of collapse caused by illness or old age
decry,express strong disapproval of; disparage
deducible,derived by reasoning
deface,mar; disfigure
defame,harm someone's reputation; malign; slander
defeatist,resigned to defeat; accepting defeat as a natural outcome
defer,delay till later; exempt temporarily; give in respectfully; submit
defiance,refusal to yield; resistance
defile,pollute; profane
definitive,most reliable or complete
deflect,turn aside
defoliate,destroy leaves
defray,provide for the payment of
defrock,to strip a priest or minister of church authority
deft,neat; skillful
defunct,dead; no longer in use or existence
degenerate,become worse; deteriorate
degradation,humiliation; debasement; degeneration
dehydrate,remove water from; dry out
deify,turn into a god; idolize
deign,condescend; stoop
delete,erase; strike out
deliberate,consider; ponder
delirium,mental disorder marked by confusion
delta,flat plain of mud or sand between branches of a river
deluge,flood; rush
delusion,false belief; hallucination
delusive,deceptive; raising vain hopes
delve,dig; investigate
demagogue,person who appeals to people's prejudice; false leader
demean,degrade; humiliate
demeanor,behavior; bearing
demographic,related to population balance
demotic,pertaining to the people
demur,object (because of doubts, scruples); hesitate
demure,grave; serious; coy
denizen,inhabitant or resident; regular visitor
denotation,meaning; distinguishing by name
denouement,outcome; final development of the plot of a play or other literary work
denounce,condemn; criticize
deplete,reduce; exhaust
deploy,spread out (troops) in an extended though shallow battle line
depose,dethrone; remove from office
deposition,testimony under oath
depravity,extreme corruption; wickedness
deprecate,express disapproval of; protest against; belittle
depreciate,lessen in value
derelict,abandoned; negligent
dermatologist,one who studies the skin and its diseases
derogatory,expressing a low opinion
descry,catch sight of
desecrate,profane; violate the sanctity of
desolate,unpopulated (adj); joyless (adj); rob of joy (v); ray waste to (v); forsake (v)
desperado,reckless outlaw
despise,look on with scorn; regard as worthless or distasteful
despondent,depressed; gloomy
despot,tyrant; harsh, authoritarian ruler
destitute,extremely poor
detached,emotionally removed; calm and objective; physically separate
determinate,having a fixed order of procedure; invariable
determination,resolve; measurement or calculation; decision
detraction,slandering; aspersion
detrimental,harmful; damaging
deviate,turn away from (a principle, norm); depart; diverge
devious,roundabout; erratic; not straightforward
devise,think up; invent; plan
devolve,deputize; pass to others
devotee,enthusiastic follower
dialectical,relating to the art of debate; mutual or reciprocal
diaphanous,sheer; transparent
dictum,authoritative and weighty statement; saying; maxim
didactic,teaching; instructional
die,device for stamping or impressing; mold
dilapidated,ruined because of neglect
dilemma,problem; choice of two unsatisfactory alternatives
dilettante,aimless follower of the arts; amateur; dabbler
diligence,steadiness of effort; persistent hard work
dilute,make less concentrated; reduce in strength
diminution,lessening; reduction in size
din,continued loud noise
dinghy,small boat (often ship's boat)
dingy,dull; not fresh; cheerless
dint,means; effort
diorama,life-Size, three-dimensional scene from nature or history
disapprobation,disapproval; condemnation
disarray,a disorderly or untidy state
disavowal,denial; disclaiming
disband,dissolve; disperse
disburse,pay out
discernible,distinguishable; perceivable
disclaim,disown; renounce claim to
discombobulated,confused; discomposed
discomfit,put to rout; defeat; disconcert
disconcert,confuse; upset; embarrass
discord,conflict; lack of harmony
discourse,formal discussion; conversation
discretion,prudence; ability to adjust actions to circumstances
discriminating,able to see differences; prejudiced
discursive,digressing; rambling
disdain,view with scorn or contempt
disembark,go ashore; unload cargo from a ship
disenfranchise,deprive of a civil right
disengage,uncouple; separate; disconnect
disfigure,mar the appearance of; spoil
disgorge,surrender something; eject; vomit
disgruntle,make discontented
disinter,dig up; unearth
disjunction,act or state of separation; disunity
dislodge,remove (forcibly)
dismantle,take apart
dismember,cut into small parts
disparity,difference; condition of inequality
dispassionate,calm; impartial
dispatch,speediness; prompt execution; message sent with all due speed
dispel,scatter; drive away; cause to vanish
dispirited,lacking in spirit
disputatious,argumentative; fond of arguing
disquietude,uneasiness; anxiety
disquisition,a formal systematic inquiry; an explanation of the results of a formal inquiry
dissection,analysis; cutting apart in Order to examine
dissertation,formal essay
dissident,dissenting; rebellious
dissimulate,pretend; conceal by feigning
dissipate,squander; waste; scatter
dissuade,persuade not to do; discourage
distant,reserved or aloof; cold in manner
distinction,honor; contrast; discrimination
distort,twist out of shape
distraught,upset; distracted by anxiety
diva,operatic singer; prima donna
divergent,differing; deviating
diverse,differing in some characteristics; various
diversion,act of turning aside; pastime
diversity,variety; dissimilitude
divine,perceive intuitively; foresee the future
docile,obedient; easily managed
docket,program as for trial; book where such entries are made
doctrinaire,unable to compromise about points of doctrine; dogmatic; unyielding
doctrine,teachings in general; particular principle (religious, legal, etc ) taught
doddering,shaky; infirm from old age
doff,take off
dogged,determined; stubborn
doggerel,poor verse
doldrums,blues; listlessness; slack period
dolt,stupid person
domineer,rule over tyrannically
don,put on
dormer,window projecting from roof
dorsal,relating to the back of an animal
dossier,file of documents on a subject
dote,be excessively fond of; show signs of mental decline
dour,sullen; stubborn
douse,plunge into water; drench; extinguish
dowdy,slovenly: untidy
downcast,disheartened; sad
drab,dull; lacking color; cheerless
draconian,extremely severe
dregs,sediment; worthless residue
drivel,nonsense; foolishness
droll,queer and amusing
drone,idle person (n); male bee (n); talk dully (v); buzz or murmur like a bee (v)
dross,waste matter; worthless impurities
drudgery,menial work
dubious,questionable; filled with doubt
ductile,malleable; flexible; pliable
dulcet,sweet sounding
duplicity,double-dealing; hypocrisy
duration,length of time something lasts
duress,forcible restraint, especially unlawfully
dutiful,respectful; obedient
dwindle,shrink; reduce
dynamic,energetic; vigorously active
dyspeptic,suffering from indigestion
earthy,unrefined; coarse
ebb,recede; lessen
eccentric,irregular; odd; whimsical; bizarre
eccentricity,oddity; idiosyncrasy
ecclesiastic,pertaining to the church
eclipse,darken; extinguish; surpass
ecologist,person concerned with the interrelationship between living organisms and their environment
economy,efficiency or conciseness in using something
ecstasy,rapture; joy; any overpowering emotion
eddy,swirling current of water, air, etc
edict,decree (especially one issued by a sovereign); official command
edify,instruct; correct morally
efface,rub out
effectual,able to produce a desired effect; valid
effeminate,having womanly traits
effervescence,inner excitement or exuberance; bubbling from fermentation or carbonation
effete,worn out; exhausted; barren
effluvium,noxious smell
effusion,pouring forth
effusive,pouring forth; gushing
egoism,excessive interest in one's self; belief that one should be interested in one's self rather than in others
egotistical,excessively self-centered; self-important; conceited
egregious,notorious; conspicuously bad or shocking
elaboration,addition of details; intricacy
elated,overjoyed; in high spirits
elixir,cure-all; something invigorating
ellipsis,omission of words from a text
elliptical,oval; ambiguous, either purposely or because key words have been left out
eloquence,expressiveness; persuasive speech
elucidate,explain; enlighten
elusive,evasive; baffling; hard to grasp
elysian,relating to paradise; blissful
emaciated,thin and wasted
emanate,issue forth
emancipate,set free
embargo,ban on commerce or other activity
embark,commence; go on board a boat; begin a journey
embed,enclose; place in something
emboss,produce a design in raised relief
embrace,hug; adopt or espouse; accept readily; encircle; include
embroider,decorate with needlework; ornament with fancy or fictitious details
embroil,throw into confusion; involve in strife; entangle
embryonic,undeveloped; rudimentary
emend,correct, usually a text
emendation,correction of errors; improvement
emetic,substance causing vomiting
eminent,high; lofty
emissary,agent; messenger
emollient,soothing or softening remedy
emolument,salary; compensation
empathy,ability to identify with another's feelings, ideas, etc
enamored,in love
encipher,encode; convert a message into code
enclave,territory enclosed within an alien land
encomiastic,praising; eulogistic
encomium,high praise; eulogy
encroachment,gradual intrusion
endearment,fond word or act
endorse,approve; support
endue,provide with some quality; endow
enduring,lasting; surviving
energize,invigorate; make forceful and active
enfranchise,admit to the rights of citizenship (especially the right to vote)
engage,attract; hire; pledge oneself; confront
engaging,charming; attractive
engross,occupy fully
enigma,puzzle; mystery
enigmatic,obscure; puzzling
enjoin,command; order; forbid
enmity,ill will; hatred
enormity,hugeness (in a bad sense)
enrapture,please intensely
ensconce,settle comfortably
entail,require; necessitate; involve
enterprising,full of initiative
enthrall,capture; enslave
entice,lure; attract; tempt
entity,real being
entomology,study of insects
entrance,put under a spell; carry away with emotion
entreat,plead; ask earnestly
entree,entrance; a way in
entrepreneur,businessperson; contractor
enumerate,list; mention one by one
enunciate,utter or speak, especially distinctly
environ,enclose; surround
eon,long period of time; an age
epaulet,ornament worn on the shoulder (of a uniform, etc )
epic,long heroic poem, novel, or similar work of art
epicure,connoisseur of food and drink
epigram,witty thought or saying, usually short
epilogue,short speech at conclusion of dramatic work
episodic,loosely connected
epistemologist,philosopher who studies the nature of knowledge
epitaph,inscription in memory of a dead person
epithet,word or phrase characteristically used to describe a person or thing
epitome,perfect example or embodiment
epoch,period of time
equable,tranquil; steady; uniform
equestrian,rider on horseback
equine,resembling a horse
equinox,period of equal days and nights; the beginning of spring and autumn
equipoise,balance; balancing force; equilibrium
equitable,fair; impartial
equity,fairness; justice
equivocal,ambiguous; intentionally misleading
erode,eat away
erotic,pertaining to passionate love
erratic,odd; unpredictable
erroneous,mistaken; wrong
escapade,prank; flighty conduct
espouse,adopt; support
esteem,respect; value
estranged,separated; alienated
ethereal,light; heavenly; unusually refined
ethnic,relating to races
ethnology,study of humankind
ethos,underlying character of a culture, group, etc
etymology,study of word parts
eugenic,pertaining to the improvement of race
euphony,sweet sound
euphoria,feeling of exaggerated (or unfounded) well-being
euthanasia,mercy killing
evanescent,fleeting; vanishing
evasive,not frank; eluding
evince,show clearly
evenhanded,impartial; fair
evocative,tending to call up (emotions, memories)
evoke,call forth
ewe,female sheep
exacting,extremely demanding
exalt,raise in rank or dignity; praise
excerpt,selected passage (written or musical)
excise,cut away; cut out
exclaim,cry out suddenly
excoriate,scold with biting harshness; strip the skin off
execrable,very bad
execrate,curse; express abhorrence for
execute,put into effect; carry out
exegesis,explanation especially of biblical passages
exemplary,serving as a model; outstanding
exemplify,show by example; furnish an example
exempt,not subject to a duty or obligation
exertion,effort; expenditure of much physical work
exhilarating,invigorating and refreshing; cheering
exhume,dig out of the ground; remove from the grave
exiguous,small; minute
existential,pertaining to existence; pertaining to the philosophy of existentialism
exonerate,acquit; exculpate
exorcise,drive out evil spirits
exotic,not native; strange
expansive,outgoing and sociable; broad and extensive; able to increase in size
expatiate,talk at length
expatriate,exile; someone who has withdrawn from his native land
expedient,suitable; practical; politic
expenditure,payment or expense; output
expertise,specialized knowledge; expert skill
expiate,make amends for (a sin)
expletive,interjection; profane oath
explicate,explain; interpret; clarify
explicit,totally clear; definite; outspoken
exploit,deed or action, particularly a brave deed (n); make use of, sometimes unjustly (v)
expository,explanatory; serving to explain
expostulation,protest; remonstrance
exposure,risk, particularly of being exposed to disease or to the elements; unmasking; act of laying something open
expropriate,take possession of
expunge,cancel; remove
expurgate,clean; remove offensive parts of a book
extant,still in existence
extemporaneous,not planned; impromptu
extenuate,weaken; mitigate
extirpate,root up
extol,praise; glorify
extort,wring from; get money by threats, etc
extradition,surrender of prisoner by one state to another
extraneous,not essential; superfluous
extricate,free; disentangle
extrinsic,external; not essential; extraneous
extrovert,person interested mostly in external objects and actions
extrude,force or push out
exuberance,overflowing abundance; joyful enthusiasm; flamboyance; lavishness
exude,discharge; give forth
fabricate,build; lie
facade,front (of building); superficial or false appearance
facet,small plane surface (of a gem); a side
facile,easily accomplished; ready or fluent; superficial
faction,party; clique; dissension
factious,inclined to form factions; causing dissension
factitious,artificial; sham
factotum,handyman; person who does all kinds of work
faculty,mental or bodily powers; teaching staff
fallible,liable to err
fallow,plowed but not sowed; uncultivated
fanaticism,excessive zeal; extreme devotion to a belief or cause
fancied,imagined; unreal
fancier,breeder or dealer of animals
fanciful,whimsical; visionary
fanfare,call by bugles or trumpets; showy display
farce,broad comedy; mockery
fastidious,difficult to please; squeamish
fatalism,belief that events are determined by forces beyond one's control
fathom,comprehend; investigate
fauna,animals of a period or region
faze,disconcert; dismay
fecundity,fertility; fruitfulness
feint,trick; shift; sham blow
felicity,happiness; appropriateness (of a remark, choice, etc )
fell,cruel (adj); deadly (adj); cut or knock down (v); bring down (with a missile) (v)
felon,person convicted of a grave crime
feral,not domestic; wild
ferment,agitation; commotion
ferret,drive or hunt out of hiding
fervent,ardent; hot
fervor,glowing ardor; intensity of feeling
fester,rankle; produce irritation or resentment
festive,joyous; celebratory
fete,honor at a festival
fiasco,total failure
fickle,changeable; faithless
figment,invention; imaginary thing
figurative,not literal, but metaphorical; using a figure of speech
figurine,small ornamental statuette
filial,pertaining to a son or daughter
filibuster,block legislation by making long speeches
filigree,delicate, lacelike metalwork
filing,particle removed by a file
finesse,delicate skill
firebrand,hothead; troublemaker
fitful,spasmodic; intermittent
flagrant,conspicuously wicked; blatant; outrageous
flail,thresh grain by hand; strike or slap; toss about
flaunt,display ostentatiously
flay,strip off skin; plunder
fleece,wool coat of a sheep (n); rob (v); plunder (v)
finicky,too particular; fussy
flick,light stroke as with a whip
flinch,hesitate; shrink
flippant,lacking proper seriousness
flit,fly; dart lightly; pass swiftly by
floe,mass of floating ice
flora,plants of a region or era
florid,ruddy; reddish; flowery
flotsam,drifting wreckage
flounder,struggle and thrash about; proceed clumsily or falter
flourish,grow well; prosper; make sweeping gestures
fluctuate,waver; shift
fluency,smoothness of speech
fluke,unlikely occurrence; stroke of fortune
fluted,having vertical parallel grooves (as in a pillar)
flux,flowing; series of changes
fodder,coarse food for cattle, horses, etc
foible,weakness; slight fault
foil,contrast (n); defeat (v); frustrate (v)
foist,insert improperly; palm off
foliage,masses of leaves
foppish,vain about dress and appearance
ford,place where a river can be crossed on foot
foreboding,premonition of evil
forensic,suitable to debate or courts of law
foreshadow,give an indication beforehand; portend; prefigure
foresight,ability to foresee future happenings; prudence
forgo,give up; do without
forlorn,sad and lonely; wretched
formality,ceremonious quality; something done just for form's sake
formidable,menacing; threatening
forsake,desert; abandon; renounce
forswear,renounce; abandon
forte,strong point or special talent
forthright,straightforward; direct; frank
fortitude,bravery; courage
fortuitous,accidental; by chance
foster,rear; encourage
founder,fail completely (v); sink (v); person who establishes (an organization, business) (n)
fracas,brawl, melee
franchise,right granted by authority; right to vote; license to sell a product in a particular territory
fraudulent,cheating; deceitful
frenetic,frenzied; frantic
frenzied,madly excited
fresco,painting on plaster (usually fresh)
fret,to be annoyed or vexed
friction,clash in opinion; rubbing against
frieze,ornamental band on a wall
frigid,intensely cold
frivolous,lacking in seriousness; self-indulgently carefree; relatively unimportant
frolicsome,prankish; gay
frond,fern leaf; palm or banana leaf
fructify,bear fruit
fruition,bearing of fruit; fulfillment; realization
frustrate,thwart; defeat
fugitive,fleeting or transitory; roving
fulcrum,support on which a lever rests
fulminate,thunder; explode
fulsome,disgustingly excessive
fundamental,basic; primary; essential
funereal,sad; solemn
furor,frenzy; great excitement
furtive,stealthy; sneaky
fusillade,simultaneous firing or outburst (of missiles, questions, etc.)
fusion,union; coalition
gadfly,animal-biting fly; an irritating person
gaffe,social blunder
gait,manner of walking or running; speed
